Location ID,Location Name,Location Type,Location Primary Inspection Category,Location Street Address,Location Address Line 2,Location City,Location Post Code,Service / Population Group,Key Question,Latest Rating,CQC Rating - Safe,CQC Rating - Effective,CQC Rating - Caring,CQC Rating - Responsive,CQC Rating - Well-Led,Publication Date,Report Type,URL,Provider ID,Provider Name,Brand ID,Brand Name
1-1421488183,NHS Bassetlaw Community Ophthalmology Service ,Independent,Hospitals ,Retford Primary Care Centre ,North Road ,Retford ,DN22 7XF,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-322264266,New Medical Systems Limited ,,BRAND Newmedica 
1-142666514,Focus Clinics ,Independent,Hospitals ,22 Wimpole Street ,Westminster ,London ,W1G 8GQ,Overall,Overall,Good,Good,Good,Good,Good,Good,11/01/2019,Location,http://www.cqc.org.uk/location/1-142666514,1-101725121,Horizon Medical Limited ,,-
1-1451121061,NHS Swindon Community Ophthalmology Service ,Independent,Hospitals ,Taw Hill Surgery ,Aiken Road ,Swindon ,SN25 1UH,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-322264266,New Medical Systems Limited ,,BRAND Newmedica 
1-147083683,Vernova Healthcare - Waters Green Medical Centre ,Independent,Hospitals ,Waters Green Medical Centre ,Sunderland Street ,Macclesfield ,SK11 6JL,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-126776326,Vernova Healthcare Community Interest Company ,,-
1-147429578,Warrington Community Ultrasound Service ,Independent,Hospitals ,1 Tanners Lane , ,Warrington ,WA2 7LY,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,27/03/2019,Location,http://www.cqc.org.uk/location/1-147429578,1-126776423,Kleyn Healthcare Limited ,,-
1-147994891,Lewisham Hospital ,Independent,Hospitals ,Lewisham High Street ,Lewisham ,London ,SE13 6LH,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,27/12/2018,Location,http://www.cqc.org.uk/location/1-147994891,1-126776353,Vascular Solutions Ltd ,,-
1-1490339174,York Diagnostic Imaging ,Independent,Hospitals ,"The Biocentre, Innovation Way ","York Science Park, Heslington ",York ,YO10 5NY,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,02/01/2019,Location,http://www.cqc.org.uk/location/1-1490339174,1-1429848581,University of York ,,-
1-149210468,Peninsula NHS Treatment Centre ,Independent,Hospitals ,20 Brest Road ,Plymouth International Business Park ,Plymouth ,PL6 5XP,Overall,Overall,Outstanding,Good,Good,Outstanding,Good,Outstanding,20/10/2016,Location,http://www.cqc.org.uk/location/1-149210468,1-138603138,Care UK (Peninsula) Limited ,BD122,BRAND Care UK 
1-149342725,Consultant Eye Surgeons Partnership (Bristol) LLP ,Independent,Hospitals ,2 Clifton Park ,Clifton ,Bristol ,BS8 3BS,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-132658453,South West Eye Surgeons LLP ,,-
1-1499584955,The Stratford Clinic ,Independent,Hospitals ,Alcester Road , ,Stratford upon Avon ,CV37 6PP,Overall,Overall,Good,Good,Good,Good,Good,Good,11/02/2019,Location,http://www.cqc.org.uk/location/1-1499584955,1-1412866527,Swft Clinical Services Ltd ,,-
1-1512006286,Woodthorpe Hospital ,Independent,Hospitals ,748 Mansfield Road ,Woodthorpe ,Nottingham ,NG5 3FZ,Overall,Overall,Good,Good,Good,Good,Good,Good,19/05/2016,Location,http://www.cqc.org.uk/location/1-1512006286,1-102643458,Ramsay Health Care UK Operations Limited ,BD170,BRAND Ramsay Health Care UK 
1-153773142,North Tyneside MRI Centre ,Independent,Hospitals ,North Tyneside General Hospital ,Rake Lane ,North Shields ,NE29 8NH,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,14/03/2019,Location,http://www.cqc.org.uk/location/1-153773142,1-101634763,Inhealth Limited ,BD289,BRAND Inhealth Limited 
1-153773206,Milton Keynes MRI Centre ,Independent,Hospitals ,The MRI Centre Unit ,"Milton Keynes General Hospital, Eaglestone ",Milton Keynes ,MK6 5LD,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,06/12/2018,Location,http://www.cqc.org.uk/location/1-153773206,1-101634763,Inhealth Limited ,BD289,BRAND Inhealth Limited 
1-153773270,Walsall MRI Centre ,Independent,Hospitals ,Walsall Healthcare NHS Trust ,"Manor Hospital, Moat Road ",Walsall ,WS2 9PS,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,14/12/2018,Location,http://www.cqc.org.uk/location/1-153773270,1-101634763,Inhealth Limited ,BD289,BRAND Inhealth Limited 
1-153773302,Frimley Park Hospital - Scanning Centre ,Independent,Hospitals ,Frimley Park Hospital ,"Portsmouth Road, Frimley ",Camberley ,GU16 7UJ,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,02/10/2018,Location,http://www.cqc.org.uk/location/1-153773302,1-101634763,Inhealth Limited ,BD289,BRAND Inhealth Limited 
1-153773414,Kingston MRI Unit ,Independent,Hospitals ,Galsworthy Road , ,Kingston upon Thames ,KT2 7QB,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,29/11/2018,Location,http://www.cqc.org.uk/location/1-153773414,1-101634763,Inhealth Limited ,BD289,BRAND Inhealth Limited 
1-153773446,Croydon MRI Centre ,Independent,Hospitals ,Croydon University Hospital ,530 London Road ,Thornton Heath ,CR7 7YE,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,07/03/2019,Location,http://www.cqc.org.uk/location/1-153773446,1-101634763,Inhealth Limited ,BD289,BRAND Inhealth Limited 
1-153773510,The Nottingham Inhealth Specialist Imaging Centre (NISIC) ,Independent,Hospitals ,Nottingham City Hospital ,"Gate 1, Hucknall Road ",Nottingham ,NG5 1PB,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,24/12/2018,Location,http://www.cqc.org.uk/location/1-153773510,1-101634763,Inhealth Limited ,BD289,BRAND Inhealth Limited 
1-155228160,Isight Limited ,Independent,Hospitals ,Drayton House ,2 Lulworth Road ,Southport ,PR8 2AT,Overall,Overall,Good,Good,Good,Good,Good,Good,26/09/2017,Location,http://www.cqc.org.uk/location/1-155228160,1-101728358,Isight Limited ,,-
1-1568809790,Leicester Nuffield Alliance MRI Unit ,Independent,Hospitals ,Nuffield Health Leicester Hospital ,Scraptoft Lane ,Leicester ,LE5 1HY,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,11/01/2019,Location,http://www.cqc.org.uk/location/1-1568809790,1-125892620,Alliance Medical Limited ,BD242,BRAND Alliance Medical Limited 
1-1574766517,Cavendish Imaging Harley Street ,Independent,Hospitals ,109 Harley Street , ,London ,W1G 6AN,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,26/03/2019,Location,http://www.cqc.org.uk/location/1-1574766517,1-249647657,Cavendish Imaging Ltd ,,BRAND Cavendish Imaging 
1-1586081494,SpaMedica Limited ,Independent,Hospitals ,5 St Pauls Square , ,Liverpool ,L3 9SJ,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101727990,SpaMedica Ltd ,,BRAND SpaMedica 
1-158739614,Midlands Ultrasound & Medical Services (Mums Limited ,Independent,Hospitals ,1 Park Avenue , ,Solihull ,B91 3EJ,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101634875,Midlands Ultrasound & Medical Services (Mums) Ltd ,,-
1-159646952,PET CT at The Harley Street Clinic ,Independent,Hospitals ,Ground Floor & Part Mezzanine ,152-154 Harley Street ,London ,W1G 7LH,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,19/03/2019,Location,http://www.cqc.org.uk/location/1-159646952,1-153362175,PET CT LLP ,BD342,BRAND HCA Hospitals 
1-1599081239,A 4D Baby ,Independent,Hospitals ,20 The Square ,Martlesham Heath ,Ipswich ,IP5 3SL,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Requires improvement,05/02/2019,Location,http://www.cqc.org.uk/location/1-1599081239,1-1400001279,Mrs Alison Margaret Hines ,,-
1-1616878884,Dorking Hospital Outpatients Department ,Independent,Hospitals ,Dorking Hospital ,Horsham Road ,Dorking ,RH4 2AA,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-1442788673,Dorking Healthcare Limited ,,-
1-163305214,The Westbourne Centre ,Independent,Hospitals ,53 Church Road ,Edgbaston ,Birmingham ,B15 3SJ,Overall,Overall,Good,Requires improvement,Good,Good,Good,Good,13/04/2017,Location,http://www.cqc.org.uk/location/1-163305214,1-5052573392,The Regenerative Clinic Ltd ,,-
1-1634569056,Chester Nuffield Alliance MRI Unit ,Independent,Hospitals ,Wrexham Road , ,Chester ,CH4 7QP,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,01/10/2018,Location,http://www.cqc.org.uk/location/1-1634569056,1-125892620,Alliance Medical Limited ,BD242,BRAND Alliance Medical Limited 
1-164309798,SpaMedica - Citygate ,Independent,Hospitals ,City Gate Central ,Blantyre Street ,Manchester ,M15 4SQ,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101727990,SpaMedica Ltd ,,BRAND SpaMedica 
1-1675529321,The Royal Buckinghamshire Centre for Rehabilitation and Specialist Nursing ,Independent,Hospitals ,Buckingham Road , ,Aylesbury ,HP19 9AB,Overall,Overall,Requires improvement,Requires improvement,Good,Outstanding,Good,Requires improvement,12/11/2018,Location,http://www.cqc.org.uk/location/1-1675529321,1-1488601653,The Royal Buckinghamshire Hospital Limited ,,-
1-1678245605,CVS Health Limited ,Independent,Hospitals ,Evegate Business Centre ,"Station Road, Smeeth ",Ashford ,TN25 6SX,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Requires improvement,04/02/2019,Location,http://www.cqc.org.uk/location/1-1678245605,1-125892435,C V S Health Limited ,,-
1-1687004806,Window to The Womb ,Independent,Hospitals ,"1st Floor Medical Suite, Colne House ",Upton Road ,Watford ,WD18 0JP,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,15/02/2019,Location,http://www.cqc.org.uk/location/1-1687004806,1-1587441296,New Beginnings South Ltd ,BD405,BRAND Window to The Womb 
1-1699911774,Heartscan Ltd ,Independent,Hospitals ,East Wing ,"Stelling Hall, Newton ",Stocksfield ,NE43 7UR,Overall,Overall,Outstanding,Good,Not Yet Rated,Outstanding,Good,Outstanding,18/03/2019,Location,http://www.cqc.org.uk/location/1-1699911774,1-1612864961,Heartscan Ltd ,,-
1-1711531274,NHS Bassetlaw Community Ophthalmology Service ,Independent,Hospitals ,The Health Centre ,Newgate Street ,Worksop ,S80 1HP,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-322264266,New Medical Systems Limited ,,BRAND Newmedica 
1-1741018822,Kings Norton Kidney Treatment Centre ,Independent,Hospitals ,"Unit 1 & 2, Wharfside ","Ardath Road, Kings Norton ",Birmingham ,B38 9PN,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Good,Requires improvement,20/03/2019,Location,http://www.cqc.org.uk/location/1-1741018822,1-126141122,Diaverum Facilities Management Limited ,BD111,BRAND Diaverum Holding UK Limited 
1-175727679,Manchester Surgical Services ,Independent,Hospitals ,Surgical Unit Trafford General Hospital ,"Moorside Road, Daveyhulme ",Manchester ,M41 5SL,Overall,Overall,Good,Good,Good,Good,Good,Requires improvement,19/07/2017,Location,http://www.cqc.org.uk/location/1-175727679,1-139955883,Manchester Surgical Services Limited ,,-
1-1782458144,St Catherines' Health Centre ,Independent,Hospitals ,St Catherines Hospital ,Church Road ,Birkenhead ,CH42 0LQ,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101727990,SpaMedica Ltd ,,BRAND SpaMedica 
1-1813865307,Perform Southampton ,Independent,Hospitals ,Auckland Road , ,Southampton ,SO15 0SD,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-102643305,Spire Healthcare Limited ,BD134,BRAND Spire Healthcare Limited 
1-182873241,Tyneside Surgical Services ,Independent,Hospitals ,Queen Elizabeth Hospital ,"Queen Elizabeth Avenue, Sheriff Hill ",Gateshead ,NE9 6SX,Overall,Overall,Good,Good,Good,Good,Good,Good,11/12/2017,Location,http://www.cqc.org.uk/location/1-182873241,1-139967897,Tyneside Surgical Services Limited ,,-
1-183388999,Verulam Clinic ,Independent,Hospitals ,118 Victoria Street , ,St Albans ,AL1 3TG,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Requires improvement,22/01/2019,Location,http://www.cqc.org.uk/location/1-183388999,1-127591200,Verulam Clinic Limited ,,-
1-1881462420,CESP (Somerset) LLP @ Musgrove Park Hospital ,Independent,Hospitals ,Musgrove Park Hospital ,Parkfield Drive ,Taunton ,TA1 5DA,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Good,Requires improvement,29/12/2017,Location,http://www.cqc.org.uk/location/1-1881462420,1-1783324733,Consultant Eye Surgeons Partnership (Somerset) LLP ,,BRAND Consultant Eye Surgeons Partnership 
1-188464745,Sevenoaks Medical Centre ,Independent,Hospitals ,Beadle House ,London Road ,Sevenoaks ,TN13 2JD,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-1890528285,The Holly Private Hospital ,Independent,Hospitals ,High Road , ,Buckhurst Hill ,IG9 5HX,Overall,Overall,Good,Good,Good,Good,Good,Outstanding,25/05/2017,Location,http://www.cqc.org.uk/location/1-1890528285,1-1839367132,Aspen Healthcare Limited ,BD406,BRAND Aspen Healthcare 
1-1890546867,Highgate Hospital ,Independent,Hospitals ,17-19 View Road , ,London ,N6 4DJ,Overall,Overall,Good,Good,Good,Good,Good,Outstanding,31/05/2017,Location,http://www.cqc.org.uk/location/1-1890546867,1-1839367132,Aspen Healthcare Limited ,BD406,BRAND Aspen Healthcare 
1-1890547068,Parkside Hospital ,Independent,Hospitals ,53 Parkside ,Wimbledon ,London ,SW19 5NX,Overall,Overall,Good,Good,Good,Good,Good,Requires improvement,16/08/2016,Location,http://www.cqc.org.uk/location/1-1890547068,1-1839367132,Aspen Healthcare Limited ,BD406,BRAND Aspen Healthcare 
1-1890547130,Parkside Hospital at Putney ,Independent,Hospitals ,266-276 Upper Richmond Road ,Putney ,London ,SW15 6TQ,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,18/08/2016,Location,http://www.cqc.org.uk/location/1-1890547130,1-1839367132,Aspen Healthcare Limited ,BD406,BRAND Aspen Healthcare 
1-1890547322,Claremont Hospital ,Independent,Hospitals ,401 Sandygate Road ,Crosspool ,Sheffield ,S10 5UB,Overall,Overall,Outstanding,Good,Good,Outstanding,Good,Outstanding,08/08/2017,Location,http://www.cqc.org.uk/location/1-1890547322,1-1839367132,Aspen Healthcare Limited ,BD406,BRAND Aspen Healthcare 
1-1901495945,Essex Vision at Westland Medical Centre ,Independent,Hospitals ,Westland Avenue , ,Hornchurch ,RM11 3SD,Overall,Overall,Good,Good,Good,Good,Good,Good,18/05/2018,Location,http://www.cqc.org.uk/location/1-1901495945,1-420617897,Essex Ophthalmology Services Limited ,,-
1-1958401707,Transform (Pines) ,Independent,Hospitals ,Abbey Pines ,192 Altrincham Road ,Manchester ,M22 4RZ,Overall,Overall,Good,Good,Good,Good,Good,Requires improvement,04/10/2018,Location,http://www.cqc.org.uk/location/1-1958401707,1-1833283525,TFHC Limited ,BD412,BRAND Transform Cosmetic Surgery 
1-196117019,Pall Mall Medical Pall Mall Manchester ,Independent,Hospitals ,61a King Street , ,Manchester ,M2 4PD,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-158769251,Pall Mall Medical (Manchester) Limited ,,BRAND Pall Mall Medical 
1-197177428,Cancer Centre London LLP ,Independent,Hospitals ,49 Parkside ,Wimbledon ,London ,SW19 5NB,Overall,Overall,Good,Good,Good,Good,Outstanding,Good,24/08/2016,Location,http://www.cqc.org.uk/location/1-197177428,1-163652765,Cancer Centre London LLP ,BD406,BRAND Aspen Healthcare 
1-199353595,Cobalt Health ,Independent,Hospitals ,"Cheltenham Imaging Centre, Linton House Clinic ",Thirlestaine Road ,Cheltenham ,GL53 7AS,Overall,Overall,Good,Requires improvement,Not Yet Rated,Good,Outstanding,Good,18/09/2019,Location,http://www.cqc.org.uk/location/1-199353595,1-126775098,Cobalt Health ,,-
1-2002484610,Ash Tree Court ,Independent,Hospitals ,Unit H4 Ash Tree Court ,"Mellors Way, Nottingham Business Park ",Nottingham ,NG8 6PY,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-1629704536,Primary Integrated Community Services Limited ,,-
1-200798927,Optegra Yorkshire Eye Hospital ,Independent,Hospitals ,937 Harrogate Road ,Apperley Bridge ,Bradford ,BD10 0RD,Overall,Overall,Good,Good,Good,Good,Good,Good,03/04/2018,Location,http://www.cqc.org.uk/location/1-200798927,1-101725155,Optegra UK Limited ,,BRAND Optegra 
1-200922174,Paul Strickland Scanner Centre ,Independent,Hospitals ,"Mount Vernon Hospital, Gate 1 ",Rickmansworth Road ,Northwood ,HA6 2RN,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,14/02/2019,Location,http://www.cqc.org.uk/location/1-200922174,1-187678871,Paul Strickland Scanner Centre ,,-
1-2010194138,The Medical Eye Clinic ,Independent,Hospitals ,"Unit 1, Glen House ","Sigford Road, Marsh Barton Trading Estate ",Exeter ,EX2 8NL,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Good,Requires improvement,29/03/2018,Location,http://www.cqc.org.uk/location/1-2010194138,1-1907849980,The Medical Eye Clinic Limited ,,-
1-201561085,Optegra Manchester Eye Hospital ,Independent,Hospitals ,The Boulevard , ,Didsbury ,M20 2EU,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Good,Requires improvement,23/11/2017,Location,http://www.cqc.org.uk/location/1-201561085,1-101725155,Optegra UK Limited ,,BRAND Optegra 
1-203531291,The Hand to Elbow Clinic ,Independent,Hospitals ,29a James Street West ,Bath ,Avon ,BA1 2BT,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-158786840,The Hand to Elbow Clinic ,,-
1-2046407956,Anglia Community Eye ,Independent, ,Cromwell Road ,Wisbech , ,PE14 0SN,Overall,Overall,Good,Good,Good,Outstanding,Good,Good,12/12/2017,Location,http://www.cqc.org.uk/location/1-2046407956,1-158804030,Anglia Community Eye Service Limited ,,BRAND Anglia Community Eye Service 
1-2070810181,Hertfordshire Clinic ,Independent,Hospitals ,Art School Yard ,The Maltings ,St Albans ,AL1 3YS,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-1599088790,Stahmis Ltd ,,BRAND Stahmis 
1-2070810519,Elms Medical Practice ,Independent,Hospitals ,5 Stewart Road , ,Harpenden ,AL5 4QA,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-1599088790,Stahmis Ltd ,,BRAND Stahmis 
1-2070830691,The Colney Medical Centre ,Independent,Hospitals ,45-47 Kings Road ,London Colney ,St Albans ,AL2 1ES,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-1599088790,Stahmis Ltd ,,BRAND Stahmis 
1-207238009,Face & Eye ,Independent,Hospitals ,2 Gibwood Road ,Northenden ,Manchester ,M22 4BT,Overall,Overall,Good,Good,Good,Good,Good,Good,27/12/2017,Location,http://www.cqc.org.uk/location/1-207238009,1-154863181,Manchester Eye and Cosmetic Clinic Limited ,,-
1-207542102,DHI International UK Limited ,Independent,Hospitals ,43 New Cavendish Street , ,London ,W1G 9TH,Overall,Overall,Good,Good,Good,Good,Good,Good,18/02/2019,Location,http://www.cqc.org.uk/location/1-207542102,1-101727726,DHI International UK Limited ,,-
1-2079393249,BMI Three Shires Hospital ,Independent,Hospitals ,The Avenue ,Cliftonville ,Northampton ,NN1 5DR,Overall,Overall,Good,Good,Good,Good,Good,Good,24/09/2018,Location,http://www.cqc.org.uk/location/1-2079393249,1-2021432317,Three Shires Hospital LLP ,BD208,BRAND BMI Healthcare 
1-2090938245,Acuitus Medical Ltd ,Independent,Hospitals ,The Business Centre ,"Unit 2, Colne Way Court, Colne Way ",Watford ,WD24 7NE,Overall,Overall,Inadequate,Inadequate,Requires improvement,Good,Good,Inadequate,20/08/2019,Location,http://www.cqc.org.uk/location/1-2090938245,1-2004782848,Acuitus Medical Ltd ,,-
1-2105335698,Camphill Health Centre ,Independent, ,Ramsden Avenue , ,Nuneaton ,CV10 9EB,Overall,Overall,Good,Good,Good,Requires improvement,Good,Good,13/06/2017,Location,http://www.cqc.org.uk/location/1-2105335698,1-322264266,New Medical Systems Limited ,,BRAND Newmedica 
1-2107726378,Pams 3D & 4D Baby Imaging ,Independent,Hospitals ,77 Consulting Rooms ,Newmarket Road ,Norwich ,NR2 2HW,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,01/03/2019,Location,http://www.cqc.org.uk/location/1-2107726378,1-1560082724,Pams Pregnancy Ultrasound Centre ,,-
1-2112545028,Bridgewater Wellness Clinic ,Independent,Hospitals ,120 Princess Road , ,Manchester ,M15 5AT,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-983441221,Optical Express Limited ,BD142,BRAND Optical Express 
1-2115222657,"The Mcindoe Centre, Part of Horder Healthcare ",Independent,Hospitals ,Mcindoe Surgical Centre ,Holtye Road ,East Grinstead ,RH19 3EB,Overall,Overall,Good,Requires improvement,Good,Good,Good,Good,31/03/2017,Location,http://www.cqc.org.uk/location/1-2115222657,1-101728244,Horder Healthcare ,,BRAND Horder Healthcare 
1-2116644334,Harley Health Village ,Independent,Hospitals ,64 Harley Street , ,London ,W1G 7HB,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-1894279631,Linia Ltd ,,-
1-2165608188,Parkway ,Independent,Hospitals ,Parkway House ,Palatine Road ,Manchester ,M22 4DB,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-195800671,Beacon Medical Services Group Limited ,,-
1-216576585,Optegra Solent Eye Hospital ,Independent,Hospitals ,Fusion 3 ,"1200 Parkway, Solent Business Park ",Whiteley ,PO15 7AD,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Requires improvement,Requires improvement,05/02/2018,Location,http://www.cqc.org.uk/location/1-216576585,1-101725155,Optegra UK Limited ,,BRAND Optegra 
1-2185777628,Optegra Eye Hospital London ,Independent,Hospitals ,25 - 27 Queen Anne Street , ,London ,W1G 9HT,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101725155,Optegra UK Limited ,,BRAND Optegra 
1-221399033,St Mary's NHS Treatment Centre ,Independent,Hospitals ,St Mary's Hospital West ,"Milton Road, Milton ",Portsmouth ,PO3 6DW,Overall,Overall,Good,Good,Good,Good,Good,Good,09/02/2016,Location,http://www.cqc.org.uk/location/1-221399033,1-116865921,Care UK Clinical Services Limited ,BD122,BRAND Care UK 
1-2232774455,Frontiere Medicale Europe Ltd ,Independent,Hospitals ,22 Harley Street ,Suite 1 ,London ,W1G 9PL,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-2029088381,Frontiere Medicale Europe Ltd ,,-
1-223517978,St. Peter's Community Hospital Ward ,Independent,Hospitals ,"St. Peter's Hospital, Admin Block ",32a Spital Road ,Maldon ,CM9 6EG,Overall,Overall,Outstanding,Good,Good,Outstanding,Outstanding,Good,15/05/2019,Provider,http://www.cqc.org.uk/provider/1-168055209,1-168055209,Provide Community Interest Company Outstanding ,,-
1-2239318205,Panacea ,Independent,Hospitals ,7A Shelley Road , ,Worthing ,BN11 1TT,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-2162030122,Stereopsis Limited ,,-
1-224446773,152 Harley Street Limited ,Independent,Hospitals ,"152, Harley Street ", ,London ,W1G 7LH,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-152946041,152 Harley Street Limited ,,-
1-2251815469,Emersons Green NHS Treatment Centre ,Independent,Hospitals ,The Brooms ,Emersons Green ,Bristol ,BS16 7FH,Overall,Overall,Good,Good,Good,Good,Good,Good,22/07/2016,Location,http://www.cqc.org.uk/location/1-2251815469,1-116865921,Care UK Clinical Services Limited ,BD122,BRAND Care UK 
1-2251883709,Devizes NHS Treatment Centre ,Independent,Hospitals ,Marshall Road , ,Devizes ,SN10 3UF,Overall,Overall,Good,Good,Good,Good,Good,Good,09/02/2017,Location,http://www.cqc.org.uk/location/1-2251883709,1-116865921,Care UK Clinical Services Limited ,BD122,BRAND Care UK 
1-2254088615,Southampton NHS Treatment Centre ,Independent,Hospitals ,"Level C, Royal South Hants Hospital ",Brintons Terrace ,Southampton ,SO14 0YG,Overall,Overall,Outstanding,Good,Good,Outstanding,Good,Outstanding,16/01/2019,Location,http://www.cqc.org.uk/location/1-2254088615,1-116865921,Care UK Clinical Services Limited ,BD122,BRAND Care UK 
1-225567690,Oxted Health Centre ,Independent,Hospitals ,10 Gresham Road , ,Oxted ,RH8 0BQ,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,13/12/2018,Location,http://www.cqc.org.uk/location/1-225567690,1-127096083,Diagnostic Ultrasound Services ,,-
1-2255830293,Southend University Hospital NHS Foundation Trust ,Independent,Primary Medical Services ,Prittlewell Chase ,Westcliff-on-Sea ,Southend ,SS0 0RY,Overall,Overall,Good,Good,Good,Good,Good,Good,01/01/2019,Location,http://www.cqc.org.uk/location/1-2255830293,1-2167914592,Commisceo Primary Care Solutions Limited ,,-
1-226279926,The CyberKnife Centre London ,Independent,Hospitals ,81 Harley Street , ,London ,W1G 8PP,Overall,Overall,Outstanding,Good,Outstanding,Good,Good,Outstanding,27/04/2017,Location,http://www.cqc.org.uk/location/1-226279926,1-221939007,Robotic Radiosurgery LLP ,BD342,BRAND HCA Hospitals 
1-227515722,Kent Medical Imaging ,Independent,Hospitals ,"Suite 33, 40 Churchill Square ",Kings Hill ,West Malling ,ME19 4YU,Overall,Overall,Good,Good,Not Yet Rated,Outstanding,Good,Good,31/12/2018,Location,http://www.cqc.org.uk/location/1-227515722,1-135467307,Kent Medical Imaging Limited ,,-
